"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
351,0.765856671773358,0.588135874263574,2.783209316978,3.49216099224211,2.25148484351646,52.98928,8.32585,2.62097900136307,0.729691843229656,0.380104590375388,0.615226511584416,34.4639950264811,0.358775942054198
352,0.768055116284286,0.662293316931741,2.17081579355339,2.71230637481633,2.257741714735,52.81747,8.46867,2.5257365335675,0.731979332131614,0.319491068534953,0.734465400801887,31.75018482273,0.346107062984699
353,0.781737113693593,0.768096412481776,3.07211317338157,3.71799718700601,2.47387436129946,52.89312,10.85288,2.44592696557941,0.749087512368664,0.350739179503069,0.6105368075656,24.981306726443,0.327890271364839
354,0.831377379850176,0.648797263900721,3.706088009928,4.70699931644782,2.37207484732154,52.86205,8.60993,2.59633584739232,0.729042582862302,0.352973957122899,0.710873987960452,30.1239114489776,0.364942729611129
355,0.779718978951401,0.712583844335593,2.80941113395674,3.62572354334248,2.63169595134724,53.05094,9.46346,2.67992259706595,0.731026234414896,0.344351065458289,0.706067955803859,40.7622358521793,0.40713045422043
356,0.750194435375648,0.598611248684997,3.09531796390495,3.96310433272928,2.30040429198592,53.26739,9.74832,2.37890120806184,0.738377683325806,0.295116173393664,0.615956418382327,20.2074174709415,0.320745552598959
357,0.658780334212608,0.628655731139262,3.33549123920681,4.25754366676172,2.45063422799496,53.07916,9.4839,2.82171930674883,0.728412952802692,0.442791571818328,0.706433674899144,36.9456072503016,0.391738448051786
358,0.798513821331853,0.626552125373562,3.41679124664758,4.22106988394741,2.36080682029498,53.43674,9.3721,2.76368138230911,0.708556503752214,0.346903535983176,0.673531242764348,36.0542622081966,0.412278400582407
359,0.824793313220787,0.675458755650414,3.22001997748027,3.88327253674759,2.34712181350459,53.41158,9.37188,2.76772799754505,0.727704970229086,0.433507974112019,0.686858067517675,34.3684260712491,0.373208054786606
360,0.946863023857545,0.746964690211165,3.84335082519095,4.11514688031884,1.41885870577824,52.86205,8.60993,2.71729143970772,0.729121815146797,0.559794626469324,0.811382970266043,24.3424193395964,0.287522015294503
361,0.801958169084586,0.75151173277768,3.34422309290532,4.17366002704624,2.7564760774738,51.22502,14.62498,2.63214492939939,0.729477604651074,0.371431576123711,0.643041434490164,38.8152443195994,0.372762731721706
362,0.935189994445742,0.557626333720269,2.09556690315261,2.20144400965468,0.667978682411971,48.018635,7.960281,3.25950137351839,0.7372375850424,0.793391161892637,0.905984617863767,24.7407089975119,0.21723688043393
363,0.953051303792531,0.721568993144401,2.85801998301779,3.41674580667528,1.61077368086459,47.622955,12.966921,2.8272819057902,0.716183723843123,0.510149432500245,0.717451078435283,29.9396420992245,0.313695364753336
364,0.773464554871508,0.658816490550951,3.54701048307186,4.17102948093571,1.93762084981897,47.622955,12.966921,2.68607306769173,0.72395493042903,0.425069460103555,0.782165942564092,23.7774517373365,0.355190033314715
365,0.777855769061898,0.735409428341558,4.10683280925599,5.30250046087912,2.58116742903079,47.622955,12.966921,3.34094736000085,0.698797102078048,0.414224812079666,0.720292280600097,40.0281042395085,0.55083908584492
366,0.670937293853337,0.727878315314868,3.44732607068455,4.63534707138911,2.52036550805595,47.622955,12.966921,3.33875051448185,0.688289235257406,0.413485580917938,0.654739840198395,48.6193267396487,0.554641014642098
367,0.842833988123595,0.652789205150567,3.33340240792999,4.2078432665079,2.17017329342996,47.622955,12.966921,2.94634748860832,0.717137788255778,0.415450892691613,0.735521236068347,31.4236228780052,0.422489720491258
368,0.751622413394113,0.462965585479663,4.01199687762036,4.94722010608819,1.73269264162436,52.05949,7.66014,3.41433233722487,0.720670943511787,0.56926350264251,0.788850253693641,48.4174317276754,0.416608708742379
369,0.938535023103893,0.759186534346652,4.00709672582694,4.64578088955877,1.89267842533648,50.12501,12.20831,2.82432517139696,0.716171950981488,0.454388510981178,0.77632114422121,27.3344462070192,0.371191244718689
370,0.95331536239434,0.738263552245422,1.87968113040057,2.05035173833883,0.78454658557482,50.32501,11.54164,3.28002252085699,0.728263036283717,0.652737057453927,0.840624755156563,34.3804387373451,0.329532970405642
371,0.95570647479839,0.732385586774807,2.01013548131963,2.29553297214755,1.09202854522572,48.87502,13.37497,3.60719172417702,0.728524313478715,0.647833924452085,0.820020295247408,33.0281889971691,0.406544562812038
372,0.893907573561178,0.626696920766664,3.90379438378188,4.7225849984435,2.00543158950047,50.22502,10.45831,3.00338227780441,0.719823070204814,0.445466095491324,0.755950387317573,34.4451839719063,0.430957008143226
373,0.39126184046555,0.995487722989991,0.948116173220426,1.21927305876408,0.424564996447383,52.94306,11.41833,2.67889815515527,0.748744740761259,0.775439328131952,0.722234748840035,23.2367873315626,0.109252354314858
374,0.85290150383683,0.63461199954488,3.10100559427506,3.81225234949889,2.02817284788032,52.95571,10.73367,2.705860362833,0.719433502852528,0.456971786443675,0.733394565945974,25.3768056122778,0.345286287045134
375,0.966925290293399,0.47641534957336,2.96580496842039,3.31027688055502,1.35910873751178,51.37502,6.87498,2.20663478069524,0.759841475361827,0.601141138425444,0.822525873440347,15.1969457162403,0.144164626994957
376,0.793307209392369,0.544355681092111,4.10294333785451,4.60569302288034,1.68019395330844,41.407222,24.600833,2.52190877500518,0.711042546889711,0.360024107002222,0.718448118526533,20.1208297287398,0.330200494710273
377,0.853619332052602,0.743216664888324,3.87466901745985,4.74058959987861,2.23722532653129,41.548611,24.486389,2.82023708368383,0.709415872951346,0.394059991758185,0.770156294186074,29.4307008176344,0.40222831365856
378,0.884401084269625,0.543162535485468,3.75585144391059,4.1749667709753,1.6442187965657,41.525,24.483056,2.58500111609174,0.705956435593265,0.444120687065762,0.772133476724697,37.0882766664644,0.354995761882786
379,0.827005593707006,0.522608223137958,4.35631078026107,4.78591408351266,1.17514312272007,41.341944,24.744167,2.61515664815444,0.721197573940811,0.464033498740676,0.796917767089704,26.5899471976145,0.255631140985834
380,0.898347109756368,0.715178430724357,3.55618835042899,3.99406960897067,1.61965068250777,41.248333,24.94,2.8795884059177,0.712310367867882,0.288341321182344,0.723391953747615,36.4136027185808,0.458713309555945
381,0.917048954325151,0.816583654027797,3.94670188576318,4.59410980075285,2.01797301980328,39.359444,23.192778,2.90219827668764,0.684776359927161,0.462125062135222,0.770013788763169,38.4616229800304,0.385553374317734
382,0.881221007234012,0.653207376097744,2.71854765304015,3.44673744349865,1.96004448630346,40.576111,22.708611,2.81077279279133,0.700093433255891,0.334868727926374,0.775471656915547,28.5679733219589,0.39399158730614
383,0.863770563100475,0.770801250635025,2.13221793142218,2.60458894674096,1.72435151283816,40.525,22.607778,2.90210988627685,0.645103483426766,0.357011664287947,0.629844060852259,46.4309409547066,0.437875000575868
384,0.875808196783005,0.794729778254616,3.51377421163555,4.5233404394359,2.45291313316035,40.985556,25.376111,2.8849401428852,0.710013140302824,0.283159880555115,0.600645318841101,32.7771616698265,0.424715767334542
385,0.920630131996101,0.666743682987926,1.29616933438703,1.58433487741277,1.02923997134673,40.666111,22.698611,2.98993130655741,0.716520242728116,0.641327681447396,0.840089979042996,24.8484607784979,0.283545315195889
386,0.824548042039876,0.756752551863775,3.16468890500089,3.76158657518083,1.82233863518968,39.590833,20.457778,3.02715089943487,0.687103753835355,0.38412488579703,0.773927133664058,38.3348587050176,0.46833462294119
387,0.953023595824566,0.787843754949125,2.12758242287499,2.43366475322828,1.1462433813208,39.208056,26.061389,3.32434071700167,0.730771481869832,0.609970672359821,0.844336418421652,23.1956306460645,0.385518903676797
