"loc","Latitude","Longitude"
671,48.972778,13.576667
672,48.9925,13.590556
673,48.968611,13.568611
674,48.782778,13.844722
675,50.730278,15.704722
676,50.5475,13.27
677,50.5475,13.27
678,50.361389,13.243611
679,49.544389,18.495097
680,50.854033,15.340706
681,48.683333,14.05
682,48.916667,13.816667
683,49.016667,13.45
684,48.95,13.5
685,49.1025,16.240944
686,49.5,18.316667
687,50.576667,14.656944
688,49.668056,16.908333
689,48.825,16.694444
690,48.873889,15.838611
691,49.786944,16.066667
692,49.999167,14.334722
693,49.051389,13.606944
694,50.054444,17.235278
695,49.931111,14.116389
696,50.017222,17.274167
697,50.633333,14.3
698,49.726944,14.3675
699,49.745833,14.787222
700,49.651944,15.065833
701,49.490278,18.233333
702,49.493056,18.3
703,49.893333,14.880833
704,50.175556,16.864722
705,50.738056,15.714722
706,50.743333,15.681111
707,48.779167,13.870833
708,49.0225,13.5425
709,49.496944,18.257778
710,49.496944,18.257778
711,50.355278,13.429167
712,50.181944,16.043056
713,50.030278,13.296111
